INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#index	class	quality	type	index	name$1$	使用等级	说明文字$1$	出售价格	图标	叠放数量	脚本编号	是否消耗	有效期（分钟）	$掉落是否广播	是否拾取绑定	跳转ID	技能	快捷使用	道具品质（0=白色 1=绿色 2=蓝色 3=紫色 4=橙色）	惩罚掉落剔除	监狱中是否可以使用	"脚本参数1(称号：ID,1元购:使用次数)"	商品分类(读取ProductTypes.txt -1为无法交易)	稀有值(999999以上为稀有物品）	出售货币类型(8-铜钱 1-银两)	填写获取途径总表ID，没有的填-1	使用道具是默认数值（1=最大，2=最小）	道具转化（可由非绑定转为绑定填1，否则填0）
#Id	Class	Quality	Type	Index	Name	NeedLevel	Desc	SsllPrice	Icon	LayerNum	ScripID	IsCost	VTime	DropPublic	PickPublic	ModuleConfigId	SkillID	QuickShow	PinZhi	bPenaltyDrop	bUseInPrison	ScripParam	CommodityType	RareValue	SellCurrencyType	ApproachID	UseNumber	ItemTrans
30000001	3	0	0	1	地煞强化精华	11	装备位强化所需低级道具，适用于#G1-49级#l装备位强化。#r#G小提示：5个地煞强化精华可以合成为1个天罡强化精华。	3000	50054	999	-1	1	-1	0	0	1050101001	6	-1	2	1	0	0	-1	-1	8	23	1	1
30000002	3	0	0	2	天罡强化精华	11	装备位强化所需中级道具，适用于#G50-79级#l装备位强化。#r#G小提示：5个天罡强化精华可以合成为1个至尊强化精华。	15000	50055	999	-1	1	-1	0	0	1050101001	6	-1	3	1	0	0	-1	-1	8	24	1	1
30000003	3	0	0	3	至尊强化精华	11	装备位强化所需高级道具，适用于#G80-99级#l装备位强化。#r#G小提示：2个至尊强化精华可以合成为1个真武强化精华。	75000	50056	999	-1	1	-1	0	0	1050101001	6	-1	4	1	0	0	-1	-1	8	25	1	1
30000004	3	0	0	4	兽魂精魄	50	用来提升珍兽的#G附体#l能力。	1	53102	999	-1	1	-1	0	0	-1	6	-1	0	1	0	0	-1	-1	8	-1	1	0
30000005	3	0	0	5	真武强化精华	11	装备位强化所需高级道具，适用于#G真武修行#l后的装备位强化。	75000	50357	999	-1	1	-1	0	0	1050101001	6	-1	4	1	0	0	-1	-1	8	394	1	1
30000006	3	0	0	6	空间宝盒	11	使用后，可在空间增加10个礼盒供其他玩家踩一踩概率获得。	1	50004	999	900800	1	-1	0	0	-1	6	1	3	1	0	0	-1	-1	8	-1	1	1
30000007	3	0	0	7	高级金创药	1	使用后，回复较多血量值。#G（冷却时间30秒）	10	50496	999	701044	1	-1	0	1	-1	-1	-1	2	1	0	0	-1	1	8	-1	1	1
30000008	3	0	0	8	高级练气丹	1	使用后，回复较多气力值。#G（冷却时间30秒）	10	50497	999	701045	1	-1	0	1	-1	-1	-1	2	1	0	0	-1	1	8	-1	1	1
30000009	3	2	3	9	高级回春丹	1	使用后，回复珍兽较多血量值。#G（冷却时间30秒）#l	10	50498	999	701046	1	-1	0	1	-1	-1	-1	2	1	0	0	-1	1	8	-1	1	1
30000011	3	0	0	11	新莽神符碎片	32	使用5个#Y新莽神符碎片#l可以合成1个#Y新莽神符#l。新莽神符是角色等级达到#G42#l级、#G52#l级、#G62#l级、#G72#l级、#G82#l级、#G92#l级时，完成#G神器突破#l所需道具，神器突破成功后可改变外观并提升神器技能等级。	8330	50191	999	-1	1	-1	0	0	-1	6	-1	4	1	0	0	-1	-1	8	320	1	1
30000012	3	0	0	12	传送符	30	使用传送符可以在#G世界地图#l中任意进行传送。	1	53107	999	-1	1	-1	0	0	-1	6	-1	0	1	0	0	-1	-1	8	-1	1	0
30000013	3	0	0	13	新莽神符	32	当角色等级达到#G42#l级、#G52#l级、#G62#l级、#G72#l级、#G82#l级、#G92#l级时，完成#G神器突破#l所需道具，神器突破成功后可改变外观并提升神器技能等级，也可用来#G神器注魂#l使用。	83300	50018	999	-1	1	-1	0	0	1020200001	6	-1	4	1	0	0	-1	-1	8	26	1	1
30000014	3	0	0	14	二阶新莽神符	18	#G二阶#l神器铸造所需道具。	1	55102	999	-1	1	-1	0	0	1020200001	6	-1	4	1	0	0	-1	-1	8	-1	1	0
30000015	3	0	0	15	三阶新莽神符	18	#G三阶#l神器铸造所需道具。	1	55103	999	-1	1	-1	0	0	1020200001	6	-1	4	1	0	0	-1	-1	8	-1	1	0
30000016	3	0	0	16	四阶新莽神符	18	#G四阶#l神器铸造所需道具。	1	55104	999	-1	1	-1	0	0	1020200001	6	-1	4	1	0	0	-1	-1	8	-1	1	0
30000018	3	0	0	18	五色神石	32	女娲补天时遗留在人间的神石，可用于#G神器五行神铸#l，也可用来#G神器注魂#l使用。	15000	50021	999	-1	1	-1	0	0	1020200001	6	-1	3	1	0	0	40	1500	8	15	1	1
30000020	3	0	0	20	体验专属木宝箱	1	体验服专属木宝箱，打开可以获得#Y捕兽绳#l和#Y50绑定元宝#l。	1	50002	999	701002	1	-1	0	1	-1	-1	6	1	1	0	0	-1	-1	8	-1	1	0
30000021	3	0	0	21	体验专属铜宝箱	1	体验服专属铜宝箱，打开可以获得#Y1级宝石宝箱#l和#Y100绑定元宝#l。	1	50003	999	701002	1	-1	0	1	-1	-1	6	1	1	0	0	-1	-1	8	-1	1	0
30000022	3	0	0	22	体验专属铁宝箱	1	体验服专属铁宝箱，打开可以获得#Y藏宝图#l和#Y150绑宝元宝#l。	1	50004	999	701002	1	-1	0	1	-1	-1	6	2	1	0	0	-1	-1	8	-1	1	0
30000023	3	0	0	23	体验专属银宝箱	1	体验服专属银宝箱，打开可以获得#Y一千银两#l和#Y200绑定元宝#l。	1	50005	999	701002	1	-1	0	1	-1	-1	6	3	1	0	0	-1	-1	8	-1	1	0
