INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
"#ID(范围[0,9999999])"	图集资源路径	"图集中图片的名称(动态图则配置前缀，如：run_1,run_2只配置为run_)"	表情名称	是否显示在插入表情界面（0表示不显示，1表示显示，2表示输入表情名称也不显示）	此表情最大数量	表情类型	是否解锁（0表示无需解锁，1表示需要）	表情长	表情宽	是否大表情	每秒帧率
#Id	AtlasPath	SpriteName	ExpressName	Show	sptMaxNum	ExpressType	Unlock	Long	Wide	IsBigEmotion	Fps
0	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_001	[微笑]	1	1	0	0	24	24	0	10
1	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_002	[撇嘴]	1	1	0	0	24	24	0	10
2	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_003	[花心]	1	1	0	0	24	24	0	10
3	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_004	[发呆]	1	1	0	0	24	24	0	10
4	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_005	[得意]	1	10	0	0	24	24	0	10
5	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_006	[流泪]	1	10	0	0	24	24	0	10
6	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_007	[害羞]	1	1	0	0	24	24	0	10
7	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_008	[闭嘴]	1	1	0	0	24	24	0	10
8	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_009	[睡]	1	1	0	0	24	24	0	10
9	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_010	[大哭]	1	1	0	0	24	24	0	10
10	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_011	[尴尬]	1	10	0	0	24	24	0	10
11	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_012	[发怒]	1	10	0	0	24	24	0	10
12	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_013	[调皮]	1	1	0	0	24	24	0	10
13	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_014	[呲牙]	1	2	0	0	24	24	0	10
14	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_015	[惊讶]	1	1	0	0	24	24	0	10
15	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_016	[难过]	1	1	0	0	24	24	0	10
16	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_017	[酷]	1	4	0	0	24	24	0	10
17	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_018	[冷汗]	1	1	0	0	24	24	0	10
18	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_019	[抓狂]	1	9	0	0	24	24	0	10
19	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_020	[吐]	1	10	0	0	24	24	0	10
20	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_021	[偷笑]	1	2	0	0	24	24	0	10
21	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_022	[可爱]	1	1	0	0	24	24	0	10
22	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_023	[白眼]	1	1	0	0	24	24	0	10
23	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_024	[傲慢]	1	1	0	0	24	24	0	10
24	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_025	[饥饿]	1	1	0	0	24	24	0	10
25	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_026	[困]	1	1	0	0	24	24	0	10
26	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_027	[惊恐]	1	10	0	0	24	24	0	10
27	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_028	[流汗]	1	1	0	0	24	24	0	10
28	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_029	[憨笑]	1	1	0	0	24	24	0	10
29	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_030	[大兵]	1	1	0	0	24	24	0	10
30	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_031	[奋斗]	1	1	0	0	24	24	0	10
31	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_032	[咒骂]	1	10	0	0	24	24	0	10
32	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_033	[疑问]	1	1	0	0	24	24	0	10
33	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_034	[嘘]	1	1	0	0	24	24	0	10
34	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_035	[晕]	1	1	0	0	24	24	0	10
35	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_036	[折磨]	1	1	0	0	24	24	0	10
36	Resources/Pack/UI/atlas/Emotion.prefab	Emotion_037	[衰]	1	1	0	0	24	24	0	10
