INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
#怪物编号	名称	$怪物性别	等级	$基础经验获取	$友好值	休闲间隔时间	$基础AI	$扩展AI	阵营	$掉落分配半径	$掉落最大有效组	$最小伤血百分比	$是否可以交互	$BOSS标记	外功攻击	外功防御	内功攻击	内功防御	HP	$MP	$HP回复	$MP回复	$命中	$闪避	$会心	$会心防御	移动速度	$步行速度	$攻击速度	$冰攻击	$冰防御	$降低目标冰抗	$火攻击	$火防御	$降低目标火抗	$电攻击	$电防御	$降低目标电抗	$毒攻击	$毒防御	$降低目标毒抗	$瞬时效果免疫ID	$持续效果免疫ID	模型ID	$是否显示头顶信息	$转向模式	$名字板高度	$选中环大小	阴影大小	人物头像ID	$攻击动作时间	$攻击冷却时间	$MaxLv	$MaxExp	$MaxAtt	$MaxDef	$MaxMag	$MaxRes	$MaxHP	$是否在小地图显示	$势力ID	攻击特性ID	$是否攻击NPC	$脱战是否回满血（0回血1不回血）	$外观类型	$强度类型	交互方式	$激活时间	$战斗方式	出场动作时间	点击出发技能（仅当交互方式为1000是，此列生效）	是否可被击飞	半身像ID	是否特殊动作出场	出场动作参数（结婚用了BP列交互方式1000的时候，这里写96播放采集动作）	获得结义值	是否计数	获得恩爱值	是否为机器人
#Id	Name	Sex	Level	Exp	Friendly	RelaxTime	BaseAI	ExtendAI	Camp	DropRadio	Tmp	MinBlood	IsInteraction	IsBoss	PhyAttack	PhyDefense	MagicAttack	MagicDefense	HPLimit	MPLimit	HPRevert	MPRevert	HitRate	DodgeRate	HuiXinRate	HuiXinDefense	MoveSpeed	WalkSpeed	AttackSpeed	IceAttack	IceDefense	IceLowerTarget	FireAttack	FireDefense	FireLowerTarget	EleAttack	EleDefense	EleLowerTarget	PoisonAttack	PoisonDefense	PoisonLowerTarget	ImmuneMomentID	ImmuneContinueID	ModelID	IsHeader	DirType	NameHeight	CircleSize	ShadowSize	HeaderID	AttackTime	AttackCD	MaxLv	MaxExp	MaxAtt	MaxDef	MaxMag	MaxRes	MaxHP	IsInMinimap	ForceID	AttackAttribeID	IsAttackNPC	IsPlayAction	ViewType	IntensityType	InteractiveType	ActiveCD	CombatType	SpecialActionTime	TriggerSkillID	hitFly	bodyID	SpecialBirth	SpecialActionID	nSwearValue	IsCount	nLoveValue	IsRobot
0	孟婆	1	100	299	0	-1	3	-1	8	20	1	0.1	1	0	17700	13616	17700	13616	82115	12000	0	0	23499	3357	271	271	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10115	1	1	-1	100	50	11013	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10114	0	0	0	0	0	0
1	先盛测试别乱删	1	1	6	0	-1	0	-1	9	20	1	0.1	1	0	32	30	32	30	64	110	0	0	37	7	23	23	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	2	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	10000	0	10000	0
2	先盛测试新别乱删	1	1	6	0	-1	0	-1	9	20	1	0.1	1	0	32	30	32	30	64	110	0	0	37	7	23	23	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10020	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	17	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	50000	0	50000	0
3	萧峰	1	90	185	0	-1	3	-1	8	20	1	0.1	1	0	13413	10318	13413	10318	63983	9500	0	0	18809	2687	266	266	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10019	1	1	-1	100	50	11015	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10013	0	0	0	0	0	0
4	段誉	1	90	185	0	-1	3	-1	8	20	1	0.1	1	0	13413	10318	13413	10318	63983	9500	0	0	18809	2687	266	266	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10007	1	1	-1	100	50	11002	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10009	0	0	0	0	0	0
5	虚竹	1	90	185	0	-1	3	-1	8	20	1	0.1	1	0	13413	10318	13413	10318	63983	9500	0	0	18809	2687	266	266	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10006	1	1	-1	100	50	11023	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10014	0	0	0	0	0	0
6	赵天师	1	100	299	0	-1	3	-1	8	20	1	0.1	1	0	17700	13616	17700	13616	82115	12000	0	0	23499	3357	271	271	2500	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10018	1	1	-1	100	50	11028	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10019	0	0	0	0	0	0
7	逃难百姓	1	1	6	0	-1	3	-1	8	20	1	0.1	1	0	32	30	32	30	64	110	0	0	37	7	23	23	1200	0	0	0	60	0	0	60	0	0	60	0	0	60	0	-1	-1	10001	1	1	-1	100	50	11001	1200	2400	-1	-1	-1	-1	-1	-1	-1	1	11	10	0	0	2	1	0	0	0	4000	-1	1	10231	0	0	0	0	0	0
