int	string	string
#id	$StrDictionary	vaule
#Id	$StrDictionary	vaule
#字典号	关键字描述（此列程序不读）功能名+字典类型+日期	字典内容
#1-5000底层功能		
1	代码字典	成功
2	代码字典	操作失败
3	代码字典	您已死亡
4	代码字典	无效技能
5	代码字典	目标已死亡
6	代码字典	气量不足
7	代码字典	冷却时间未到
8	代码字典	没有目标
9	代码字典	无效目标
10	代码字典	超出范围
11	代码字典	距离太近
12	代码字典	没有操作平台
13	代码字典	距离操作平台太远
14	代码字典	没有操作工具
15	代码字典	缺少材料
16	代码字典	背包缺少空间
17	代码字典	理论上这些错误将被客户端过滤，所以如果出现，可能来自于一些外挂
18	代码字典	正在做其它事情
19	代码字典	已经拥有该任务
20	代码字典	任务记录已满
21	代码字典	没有找到该任务
22	代码字典	熟练度不够
23	代码字典	角色还不会使用这个技能
24	代码字典	目标角色无脚本
25	代码字典	没有足够的生命值
26	代码字典	没有足够的怒气值
27	代码字典	没有足够的连击点
28	代码字典	没有足够的道具
29	代码字典	没有足够的活力
30	代码字典	技能等级不够
31	代码字典	宝石无法再升级
32	代码字典	操作失败，请重试
33	代码字典	一件装备上不允许装备同类型的宝石
34	代码字典	需要在狂暴状态下使用
35	代码字典	无效目标点
36	代码字典	缺乏宝石插口
37	代码字典	无法移动
38	代码字典	无法使用技能
39	代码字典	使用尚未激活的技能
40	代码字典	HP大于限定数值
41	代码字典	需要一把武器
42	代码字典	心法等级不够
43	代码字典	尚未学会此技能
44	代码字典	您必须拜师进入一个门派才能继续升级
45	代码字典	您现在的状态，不能进行此类操作
46	代码字典	挂机时间超时
47	代码字典	您的珍兽快乐度不足60，不能出战，需要驯养
48	代码字典	您的等级不够
49	代码字典	您的珍兽已无法得到经验
50	代码字典	您的珍兽寿命为0，无法再召唤，请为其增加寿命
51	代码字典	您的经验已经到达当前等级上限，请提升帮会武学修炼等级
52	代码字典	无法设置更多的此类陷阱
53	代码字典	发布失败
54	代码字典	未指定珍兽
55	代码字典	对不起，同时只能发布一只宠
56	代码字典	对不起，您的宠好像不是宝宝哦
57	代码字典	对不起，您的宠级别还不够哦
58	代码字典	对不起，您的宠快乐值不够高
59	代码字典	对不起，您的宠寿命不够
60	代码字典	需要在隐身状态下使用
61	代码字典	对不起，您的精力不足
62	代码字典	无法在摆摊中移动
63	代码字典	需要在护体保护下
64	代码字典	您的珍兽已死亡
65	代码字典	您的珍兽快乐度不足60，已被收回
66	代码字典	您的珍兽寿命为0，已被收回
67	代码字典	这种宝石不能镶嵌在这种装备上
68	代码字典	您无法察看该珍兽的信息
69	代码字典	变异宠不能进行洗炼
70	代码字典	出战宠不能进行洗炼
71	代码字典	不可走区域
72	代码字典	需要设置二级密码
73	代码字典	需要解锁二级密码
74	代码字典	正在交易的珍兽无法出战
75	代码字典	已经有配偶的珍兽不能洗炼
76	代码字典	缺少指定道具
77	代码字典	需要先装备坐骑
78	代码字典	需要先学会相应的骑术
79	代码字典	装备已经损坏
80	代码字典	装备已经损坏
81	代码字典	需要两个人组队才行
82	代码字典	必须是队长才能有这种操作
83	代码字典	您的同伴不在有效范围内
84	代码字典	多方中已经有一只珍兽在繁殖了
85	代码字典	现在有很多珍兽正在繁殖，您需要等待一段时间
86	代码字典	你们的珍兽必须都是宝宝
87	代码字典	你们的珍兽必须是同一种类型
